CodeValue,ShortDescription,Description,Namespace
Hydaburg,Hydaburg,Hydaburg Cooperative Association,uri://ed-fi.org/TribalAffiliationDescriptor
Igiugig,Igiugig,Igiugig Village,uri://ed-fi.org/TribalAffiliationDescriptor
Iipay,Iipay,"Iipay Nation of Santa Ysabel, California",uri://ed-fi.org/TribalAffiliationDescriptor
Iliamna,Iliamna,Village of Iliamna,uri://ed-fi.org/TribalAffiliationDescriptor
Inaja,Inaja,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Ione,Ione,Ione Band of Miwok Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Iowa of Kansas,Iowa of Kansas,Iowa Tribe of Kansas & Nebraska,uri://ed-fi.org/TribalAffiliationDescriptor
Iowa of Oklahoma,Iowa of Oklahoma,Iowa Tribe of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Iqurmuit,Iqurmuit,Iqurmuit Traditional Council,uri://ed-fi.org/TribalAffiliationDescriptor
Ivanof Bay Tribe,Ivanof Bay Tribe,Ivanof Bay Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Jackson,Jackson,Jackson Band of Miwuk Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Jamestown,Jamestown,Jamestown S'Klallam Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Jamul,Jamul,Jamul Indian Village of California,uri://ed-fi.org/TribalAffiliationDescriptor
Jena,Jena,Jena Band of Choctaw Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Jicarilla,Jicarilla,"Jicarilla Apache Nation, New Mexico",uri://ed-fi.org/TribalAffiliationDescriptor
Kaguyuk,Kaguyuk,Kaguyak Village,uri://ed-fi.org/TribalAffiliationDescriptor
Kaibab,Kaibab,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Kake,Kake,Organized Village of Kake,uri://ed-fi.org/TribalAffiliationDescriptor
Kaktovik,Kaktovik,Kaktovik Village (aka Barter Island),uri://ed-fi.org/TribalAffiliationDescriptor
Kalispel,Kalispel,Kalispel Indian Community of the Kalispel Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Kalskag,Kalskag,Village of Kalskag,uri://ed-fi.org/TribalAffiliationDescriptor
Kaltag,Kaltag,Village of Kaltag,uri://ed-fi.org/TribalAffiliationDescriptor
Kanatak,Kanatak,Native Village of Kanatak,uri://ed-fi.org/TribalAffiliationDescriptor
Karluk,Karluk,Native Village of Karluk,uri://ed-fi.org/TribalAffiliationDescriptor
